"意图intent","意图中文解释","意图一级标签（tag1）","意图二级标签（tag2）","意图三级标签（tag3）","是否实现（有数据）","备注"
ask_age,询问年龄,ask_questions,ask_for_bot_informations,中性意图,,
ask_you_birthday,询问对方生日,ask_questions,ask_for_bot_informations,中性意图,,
ask_you_birthplace,询问对方出生地,ask_questions,regular_event,中性意图,,
ask_bot,询问是否是机器人,ask_questions,regular_event,中性意图,,
ask_you_cook,询问对方做饭,ask_questions,regular_event,中性意图,,
ask_you_emotion_state,询问对方情感状态,ask_questions,ask_for_bot_informations,中性意图,,
ask_father,询问父亲,ask_questions,ask_for_bot_informations,中性意图,,
ask_food,询问食物,ask_questions,regular_event,中性意图,,
ask_you_gender,询问对方性别,ask_questions,ask_for_bot_informations,中性意图,,
ask_height,询问多高,ask_questions,ask_for_bot_informations,中性意图,,
ask_how,询问如何,ask_questions,regular_event,中性意图,,
ask_it_effect,询问效果如何,ask_questions,regular_event,中性意图,,
ask_how_increase_power,询问如何增长力量,ask_questions,regular_event,中性意图,,
ask_you_how_judge,询问你如何判断,ask_questions,regular_event,中性意图,,
ask_you_have_many,询问你有多少,ask_questions,regular_event,中性意图,,
ask_how_to_healthy_by_eat,询问怎么能吃得健康,ask_questions,regular_event,中性意图,,
ask_you_hobby,询问对方兴趣,ask_questions,ask_for_bot_informations,中性意图,,
ask_introduce,询问介绍,ask_questions,regular_event,中性意图,,
ask_items,询问项目,ask_questions,regular_event,中性意图,,
ask_like_animal,询问动物,ask_questions,ask_for_bot_informations,中性意图,,
ask_you_favorite_food,询问对方喜欢的食物,ask_questions,ask_for_bot_informations,正向意图,,
ask_you_mood,询问对方心情,ask_questions,user_care_about,中性意图,,
ask_you_name,询问对方名字,ask_questions,ask_for_bot_informations,中性意图,,
ask_other_resident,询问其他住所,ask_questions,regular_event,中性意图,,
ask_recipe,询问菜谱,ask_questions,regular_event,中性意图,,
ask_you_resident,询问对方住址,ask_questions,ask_for_bot_informations,中性意图,,
ask_specials,询问特别之处,ask_questions,regular_event,中性意图,,
ask_you_teach,请求教导,ask_questions,regular_event,中性意图,,
ask_view_on_friendship,询问对友情的看法,ask_questions,regular_event,中性意图,,
ask_view_on_love,询问对爱情的看法,ask_questions,regular_event,中性意图,,
ask_weather,询问天气,ask_questions,regular_event,中性意图,,
ask_what,询问什么,ask_questions,regular_event,中性意图,,
ask_what_attention,询问注意什么,ask_questions,regular_event,中性意图,,
ask_what_doing,询问在做什么,ask_questions,regular_event,中性意图,,
ask_what_eat,询问吃什么,ask_questions,regular_event,中性意图,,
ask_what_look,询问长什么样,ask_questions,regular_event,中性意图,,
ask_you_can_do_what,询问你能做什么,ask_questions,regular_event,中性意图,,
ask_where,询问地方,ask_questions,regular_event,中性意图,,
ask_whether_eat,询问是否吃饭了,ask_questions,regular_event,中性意图,,
ask_whether_fat,询问胖瘦,ask_questions,ask_for_bot_informations,中性意图,,
ask_who,询问谁,ask_questions,regular_event,中性意图,,
ask_dislike_who,询问不喜欢谁,ask_questions,regular_event,负向意图,,
ask_like_who,询问喜欢谁,ask_questions,regular_event,正向意图,,
ask_who_play,询问和谁在一起玩,ask_questions,regular_event,中性意图,,
ask_why,询问为什么,ask_questions,regular_event,中性意图,,
ask_why_happy,询问为什么开心,ask_questions,regular_event,正向意图,,
ask_why_power,询问为什么变强,ask_questions,regular_event,中性意图,,
express_clever,表示聪明,express_opinions,user_praised,正向意图,,
express_cloth_good,表示衣服好看,express_opinions,user_praised,正向意图,,
express_encourage,表示鼓励,express_opinions,user_praised,正向意图,,
express_greet,表示问候,polite_behavior,user_greetings,正向意图,,
express_looks_good,表示长得好看,express_opinions,user_praised,正向意图,,
express_not_human,表示不是真人,express_opinions,regular_event,中性意图,,
express_state_good,表示状态好,express_opinions,user_praised,正向意图,,
express_thank_you,表示感谢,express_opinions,user_thank,正向意图,,
express_me_unhappy,表示自己不开心,ask_questions,user_care_about,负向意图,,
express_upgrade,表示升级,statement_event,regular_event,正向意图,,
express_upgrade_slow,表示升级慢,statement_event,regular_event,负向意图,,
express_want_to_diet,表示想要节食,express_opinions,regular_event,负向意图,,
express_want_to_travel,表示想去旅游,express_opinions,regular_event,正向意图,,
request_do_something,请求做某事,suggest_bot,regular_event,中性意图,,
request_wait,要求等待,statement_event,regular_event,中性意图,,
view_dead,询问看待死亡,ask_opinion,regular_event,中性意图,,
view_father,询问看待父亲,ask_opinion,regular_event,中性意图,,
ask_you_ready,询问准备情况,polite_behavior,regular_event,中性意图,,
ask_future_goals_what,询问未来理想,ask_questions,user_care_about,中性意图,,
ask_me_look_how,询问我看起来如何,ask_opinion,regular_event,中性意图,,
ask_feeling,询问感觉,ask_questions,user_care_about,中性意图,,
ask_how_great,询问好不好,ask_opinion,regular_event,正向意图,,
ask_hungry,询问饿,ask_questions,regular_event,负向意图,,
ask_next_Task,询问下一个任务,ask_questions,regular_event,中性意图,,
ask_recent_weather,询问最近天气,ask_questions,regular_event,中性意图,,
ask_resident_ok,询问住的怎么样,polite_behavior,user_care_about,中性意图,,
ask_specialty_what,询问特长,ask_questions,ask_for_bot_informations,中性意图,,
ask_scenic_spot_where,询问附近游玩,ask_questions,regular_event,中性意图,,
ask_your_teacher,询问老师是谁,ask_questions,regular_event,中性意图,,
does_not_want_to_talk,表示不想说话,express_opinions,negative_emotions_dislike,负向意图,,
express_affirm,表示肯定,express_opinions,regular_event,中性意图,,
express_annoying,表示厌烦,express_emotions,negative_emotions_agitated,负向意图,,
express_apologize,表示歉意,express_opinions,user_apologize_to_bot,负向意图,,
express_bad,表示糟糕,express_emotions,negative_emotions_unhappy,负向意图,,
express_beautiful,表示很好看,express_opinions,regular_event,正向意图,,
express_comfort,表示安慰,express_opinions,user_comfort_bot,正向意图,,
express_deny,表示否认,express_opinions,regular_event,中性意图,,
express_do_something,表示在做某事,statement_event,regular_event,中性意图,,
express_good,表示好,express_opinions,agree_with_bot,正向意图,,
express_goodbye,表示短暂告别,polite_behavior,user_greetings,中性意图,,
express_have_no_time,表示没时间,express_emotions,negative_emotions_agitated,中性意图,,
express_hungry,表示饥饿,statement_event,regular_event,负向意图,,
express_laughat,表示嘲讽,express_opinions,negative_emotions_insult,负向意图,,
express_know_you_happy,表示知道你高兴,express_opinions,user_praised,正向意图,,
express_laughat,表示嘲讽,express_opinions,negative_emotions_insult,负向意图,,
express_like_play_game,表示喜欢玩游戏,statement_event,regular_event,正向意图,,
express_like_somebody,表示喜欢,express_opinions,regular_event,正向意图,,
express_like_you,表示喜欢你,express_opinions,user_praised,正向意图,,
express_mood_angry,表示情绪愤怒,express_emotions,negative_emotions_insult,负向意图,,
express_mood_boring,表示无聊,express_emotions,regular_event,负向意图,,
express_mood_great,表示开心,express_emotions,positive_emotions_happy,正向意图,,
express_nice_talk,表示聊天愉快,express_opinions,user_praised,正向意图,,
inform_my_romance_status,告知情感状态,statement_event,regular_event,正向意图,,
express_not_to_tell,表示拒绝回答,statement_event,regular_event,负向意图,,
express_person_good,表示人好,express_emotions,user_praised,正向意图,,
express_regret,表示遗憾,polite_behavior,user_care_about,负向意图,,
express_sad,表示伤心,express_emotions,negative_emotions_unhappy,负向意图,,
express_share,表示分享物品,statement_event,regular_event,正向意图,,
inform_my_romance_status,告知情感状态,statement_event,regular_event,中性意图,,
share_events_positive,分享积极事件,statement_event,positive_emotions_happy,正向意图,,
express_going_to_bed,表示要睡觉,statement_event,regular_event,中性意图,,
inform_animal,告知动物,express_opinions,regular_event,中性意图,,
inform_eat,告知吃,statement_event,regular_event,中性意图,,
inform_my_home,告知家,statement_event,regular_event,中性意图,,
inform_my_name,告知姓名,statement_event,regular_event,中性意图,,
inform_num,告知数字,statement_event,regular_event,中性意图,,
inform_weather,告知天气,statement_event,regular_event,中性意图,,
express_no_waits,表达催促,express_emotions,negative_emotions_agitated,负向意图,,
request_propose_food,询问推荐食物,ask_opinion,regular_event,中性意图,,
express_abuse,表示辱骂,express_emotions,negative_emotions_insult,负向意图,,
share_events_negative,分享负面事件,statement_event,express_negative_event,负向意图,8.3新增意图,7.26新增的意图、分类标签
share_events_positive,分享积极事件,statement_event,express_positive_event,正向意图,8.3新增意图,7.26新增的意图、分类标签
inform_my_favorite_color,告知最爱的颜色,,,正向意图,8.3新增意图,
ask_my_hobby,询问我的兴趣爱好,ask_questions,,中性意图,8.3新增意图,
inform_my_favorite_food,告知最爱的食物,,,正向意图,8.3新增意图,
inform_my_favorite_movie,告知最爱的电影,,,正向意图,8.3新增意图,
inform_my_occupation,告知职业,statement_event,,中性意图,8.3新增意图,
express_my_emotions,表达我的情绪,,,中性意图,8.3新增意图,
ask_my_occupation,询问我的职业,ask_questions,,中性意图,8.3新增意图,
inform_my_personality_type,告知性格类型,,,中性意图,8.3新增意图,
ask_my_nickname,询问我的昵称,ask_questions,,中性意图,8.3新增意图,
express_insult,表示侮辱,express_opinions,negative_emotions_insult,负向意图,8.3新增意图,
inform_my_romance_status,告知情感状态,,,中性意图,8.3新增意图,
ask_my_favorite_food,询问我喜欢的食物,ask_questions,,正向意图,8.3新增意图,
inform_my_city,告知目前所在城市,statement_event,,中性意图,8.3新增意图,
ask_my_romance_status,询问我的情感状态,ask_questions,,中性意图,8.3新增意图,
inform_my_hobby,告知兴趣爱好,,,中性意图,8.3新增意图,
ask_you_personality_type,询问对方性格类型,ask_questions,,中性意图,8.3新增意图,
ask_my_birthplace,询问自己出生地,ask_questions,,中性意图,8.3新增意图,
ask_my_name,询问我的名字,ask_questions,,中性意图,8.3新增意图,
ask_you_occupation,询问对方职业,ask_questions,,中性意图,8.3新增意图,
inform_my_birthplace,告知出生地,statement_event,,中性意图,8.3新增意图,
ask_you_favorite_color,询问对方最爱的颜色,ask_questions,,正向意图,8.3新增意图,
ask_my_birthday,询问自己的生日,ask_questions,,中性意图,8.3新增意图,
express_comfort,表示安慰,,,正向意图,8.3新增意图,
express_apologize,表示歉意,,,负向意图,8.3新增意图,
inform_my_nickname,告知昵称,statement_event,,中性意图,8.3新增意图,
inform_my_constellation,告知星座,statement_event,,中性意图,8.3新增意图,
ask_my_favorite_book,询问我最爱的书,ask_questions,,正向意图,8.3新增意图,
inform_my_gender,告知性别,statement_event,,中性意图,8.3新增意图,
ask_my_favorite_color,询问我最爱的颜色,ask_questions,,正向意图,8.3新增意图,
ask_my_gender,询问我的性别,ask_questions,,中性意图,8.3新增意图,
express_emotion_in_low_spirits,表示失落,express_emotions,,负向意图,8.3新增意图,
ask_you_favorite_book,询问你最爱的书,ask_questions,,正向意图,8.3新增意图,
inform_my_favorite_book,告知最爱的书,,,正向意图,8.3新增意图,
ask_you_constellation,询问对方星座,ask_questions,,中性意图,8.3新增意图,
ask_my_favorite_movie,询问我最爱的电影,ask_questions,,正向意图,8.3新增意图,
see_you,表示短暂告别,,,中性意图,8.3新增意图,
ask_my_personality_type,询问我的性格类型,ask_questions,,中性意图,8.3新增意图,
ask_you_favorite_movie,询问对方最爱的电影,ask_questions,,正向意图,8.3新增意图,
ask_my_city,询问我目前所在城市,ask_questions,,中性意图,8.3新增意图,
ask_you_favorite_food,询问对方最爱的食物,ask_questions,,正向意图,8.3新增意图,
ask_my_constellation,询问我的星座,ask_questions,,中性意图,8.3新增意图,